m,H,seed,profits,n_served,energy_c,energy_d,satisfaction,degradation,track_err
0.8,10,0,-9.62176431100869,3,85.48992636528746,30.97965473386737,1.0,0.0001955130302821202,13950.135228776453
0.8,10,1,-13.323935523456154,3,140.9598927081653,66.0999189700444,1.0,0.0003577967855280926,26122.428677128166
0.8,10,2,-4.351166688475047,2,52.927648311121786,24.689622159539002,1.0,0.00014723954196454973,6538.156251512832
0.8,10,3,-3.332624723133055,2,74.47003715846293,54.52716922896053,1.0,0.00021123607990099205,10944.94122584064
0.8,10,4,-1.6632517262016362,1,35.999997071402554,22.04995942694597,1.0,0.00010232792410366743,4984.021824421888
0.8,10,5,-2.8070199994792384,2,47.33996926746583,37.549919272453934,1.0,0.00014416731013054793,9984.357474533377
0.8,10,6,-9.326051257277218,3,129.52902248572082,72.278473308946,0.9541666666666666,0.0003446394928232839,24582.73191357644
0.8,10,7,-5.417825989464713,3,88.40991461153232,63.46993490006405,1.0,0.0002484293876568465,18657.309080911866
0.8,10,8,-4.953020581030997,3,102.43304135461668,74.04115366569592,0.95425,0.0003291336397458467,18858.46225040179
0.8,10,9,-1.1089224429322813,1,22.1500143759336,16.49998711072078,1.0,5.669450829436126e-05,3269.2332934143997
0.9,10,0,-7.310621793752718,3,145.10094215617926,90.73961994255764,1.0,0.00039356932084148486,25215.295805956095
0.9,10,1,-9.332986187565101,3,198.4199128064305,123.69989211403814,1.0,0.0006287983771452884,43612.82169720013
0.9,10,2,-2.302415934563423,2,99.44995798500292,71.23977625875344,1.0,0.0003304376739024776,14389.045144723465
0.9,10,3,-0.5744770573847017,2,117.4599084032071,97.57991389457024,1.0,0.000360117082969858,18105.139377426432
0.9,10,4,-0.7002255178258556,1,54.97994838480692,41.04997481690521,1.0,0.00014442073701185481,8325.29962373939
0.9,10,5,-1.5874204126489904,2,52.47997553119431,42.689925536182415,1.0,0.00016979186162820441,13144.322697756674
0.9,10,6,-6.209755181001427,3,162.03903250447883,104.74863194491067,0.9541666666666666,0.00046341909946518215,31978.635927982086
0.9,10,7,-3.2589605770380645,3,93.99000034444789,69.07737493935856,1.0,0.00026615618402876925,19789.580002295803
0.9,10,8,-0.8859144260324627,3,154.9628982788305,126.4398520810445,0.95425,0.0005191761769846573,31206.91528495671
0.9,10,9,-0.22943226406267492,1,40.679965033125114,35.05997845711877,1.0,0.00014566555581126128,6370.212651421697
1.0,10,0,-4.611487092401211,3,176.97004991287884,122.66965788274132,1.0,0.0005199844773463987,31718.467588939784
1.0,10,1,-6.1088071012992895,3,239.48854851973564,164.88972308680133,1.0,0.0007735911446682909,58284.35441110223
1.0,10,2,-0.4273182934661306,2,122.86006215129117,94.74971939786698,1.0,0.00043051963809837,18734.857815318537
1.0,10,3,2.0451505274624857,2,137.41994974595343,117.6298014892325,1.0,0.00043069480283152567,22069.460806242303
1.0,10,4,0.4444030737603216,1,63.449926249135025,49.54993794481395,1.0,0.00017690494682095803,9819.249568448517
1.0,10,5,-0.7049795303140659,2,58.949975112632316,49.19983156822681,1.0,0.00019697346084165477,11663.465362685954
1.0,10,6,-3.4071344184489485,3,192.93865430486858,135.68987672006944,0.9541666666666666,0.0005606077976456111,40498.16085517108
